0.001;60
0.001;1421
0.001;731
0.001;2191
0.001;528
0.001;731
0.001;1421
0.001;310
0.001;731
0.001;60
0.006;662
0.006;1664
0.006;60
0.006;2429
0.006;731
0.006;662
0.006;528
0.006;552
0.006;578
0.006;731
0.011;1328
0.011;3420
0.011;731
0.011;731
0.011;578
0.011;762
0.011;1937
0.011;3371
0.011;3573
0.011;528
0.016;-608
0.016;2304
0.016;-140
0.016;1421
0.016;-1630
0.016;731
0.016;731
0.016;-16090
0.016;731
0.016;731
0.021;6237
0.021;1920
0.021;3420
0.021;-998
0.021;7556
0.021;692
0.021;6820
0.021;731
0.021;0
0.021;-496
0.026;2902
0.026;3086
0.026;2144
0.026;-27840
0.026;1421
0.026;1421
0.026;3604
0.026;1421
0.026;731
0.026;-322
0.031;731
0.031;762
0.031;3604
0.031;6229
0.031;2260
0.031;9313
0.031;3323
0.031;7773
0.031;2902
0.031;8913
0.036;3333
0.036;731
0.036;60
0.036;8333
0.036;762
0.036;3604
0.036;-19256
0.036;7849
0.036;-1501
0.036;3388
0.041;3573
0.041;1421
0.041;463
0.041;-3691
0.041;731
0.041;-103820
0.041;-15538
0.041;8969
0.041;731
0.041;-84145
0.046;762
0.046;3603
0.046;-10923
0.046;1421
0.046;3614
0.046;-14390
0.046;-140
0.046;499
0.046;-8436
0.046;60
0.051;901
0.051;8344
0.051;60
0.051;662
0.051;-733
0.051;3485
0.051;2481
0.051;3811
0.051;-1501
0.051;762
0.056;3371
0.056;-65996
0.056;2655
0.056;2902
0.056;3573
0.056;3604
0.056;3573
0.056;-47
0.056;3573
0.056;-140
0.061;60
0.061;-1501
0.061;-1501
0.061;391
0.061;-15415
0.061;-140
0.061;-2987
0.061;-144
0.061;-140
0.061;2059
0.066;-103820
0.066;-5478
0.066;5608
0.066;-1501
0.066;7568
0.066;3573
0.066;0
0.066;-811
0.066;3603
0.066;2059
0.071;3573
0.071;60
0.071;-14390
0.071;3604
0.071;-608
0.071;-811
0.071;3573
0.071;-103820
0.071;1421
0.071;-26129
0.076;3420
0.076;-140
0.076;60
0.076;-811
0.076;1421
0.076;2059
0.076;0
0.076;-5450
0.076;-811
0.076;3371
0.081;2362
0.081;731
0.081;-1501
0.081;3573
0.081;-62588
0.081;8606
0.03;1937
0.03;3333
0.03;1421
0.03;2692
0.03;2126
0.03;-811
0.03;3086
0.03;935
0.03;401
0.03;2780
0.03;8346
0.03;0
0.03;8606
0.03;816
0.03;-1463
0.03;-15427
0.03;-1501
0.03;762
0.03;-9365
0.03;2045
