
420;538.815;;317;110.333;220.146;853.333;536.333;6;13;10.3333;13.1993;-201;5.90988e+07;266;266;266;;-1444;-1717.33;3583.15;2087.67;3531.67;7.33333;19;13.6667;17.9134;-4251;5.90988e+07;-4251;-450.5;3350;;2198.67;2032;1928.99;2975;776.333;5;10;8.33333;10.3709;-696;-1.70287e+09;3396;3396;3396;
1302.67;738.417;;2312.33;1999;4534.09;4574.33;2262;8.66667;21;15.6667;15.4344;-4251;-2.5976e+08;3883;5124;6365;;607.667;267.667;3154;2525;1917.33;6.33333;32;17;21.2289;-4050;1.42662e+09;1457;2426.5;3396;;57.6667;-335.667;1763.7;2041.67;1984;10;29;19.6667;20.9974;-2201;1.67813e+09;-837;597;2031;
4211;0;;-3416;-3436;0;0;3416;0;3;1;0;-3436;1.36477e+09;-3436;-3436;-3436;;2181;2161;0;2181;0;1;0;1;0;2161;-3436;2161;2161;2161;;2774;2754;0;2774;0;1;0;1;0;2754;2161;2754;2754;2754;
