
;;;;;15.1.2016_1.2.2016;;;;;1.2.2016_15.2.2016;;;;;15.2.2016_1.3.2016
2254;2194;3;0;;-286;-306;0;1;;4231;4211;1;0;;-3416;-3436;0;1;;
2254;2194;3;0;;-286;-306;0;1;;4231;4211;1;0;;-3416;-3436;0;1;;
2254;2194;3;0;;-286;-306;0;1;;4231;4211;1;0;;-3416;-3436;0;1;;
3243;2783;18;5;;-931;-1671;17;20;;-5129;-5789;12;21;;1229;209;25;26;;
1.1.2016_15.1.2016;;;;;15.1.2016_1.2.2016;;;;;1.2.2016_15.2.2016;;;;;15.2.2016_1.3.2016
2368;2308;3;0;;-2637;-2937;5;10;;-4302;-4362;1;2;;-651;-751;4;1;;
4889;4029;34;9;;86;-854;30;17;;7327;6147;43;16;;-3497;-4297;17;23;;
1.1.2016_15.1.2016;;;;;15.1.2016_1.2.2016;;;;;1.2.2016_15.2.2016;;;;;15.2.2016_1.3.2016
2695;2475;8;3;;-28;-168;3;4;;6382;5882;19;6;;-467;-767;7;8;;
4162;3342;33;8;;-205;-905;22;13;;7101;6001;40;15;;-792;-1572;17;22;;
2254;2194;3;0;;-286;-306;0;1;;4231;4211;1;0;;-3416;-3436;0;1;;
2254;2194;3;0;;-286;-306;0;1;;4231;4211;1;0;;-3416;-3436;0;1;;
2342;2282;3;0;;-805;-1065;5;8;;-5293;-5473;3;6;;2741;2561;7;2;;
2416;2356;3;0;;-335;-475;2;5;;-5258;-5358;2;3;;642;502;4;3;;
2255;2195;2;1;;96;-44;4;3;;-5675;-5815;4;3;;-1702;-1762;2;1;;
2255;2195;2;1;;96;-44;4;3;;-5675;-5815;4;3;;-1702;-1762;2;1;;
2254;2194;3;0;;-286;-306;0;1;;4231;4211;1;0;;-3416;-3436;0;1;;
2254;2194;3;0;;-286;-306;0;1;;4231;4211;1;0;;-3416;-3436;0;1;;
5331;4311;40;11;;340;-880;38;23;;5399;3819;52;27;;-3423;-4623;30;30;;
2254;2194;3;0;;-286;-306;0;1;;4231;4211;1;0;;-3416;-3436;0;1;;
2342;2282;3;0;;54;-86;3;4;;4231;4211;1;0;;-2049;-2109;1;2;;
