0;-3865;2141;8.46;3.82
1;-215.19;2141;7.97;3.785
2;278.2;2141;6.89;3.52
3;1016.58;2141;6.12;3.23
4;545.95;2141;5.9;3.13
5;756.24;2141;5.32;2.94
6;1269.55;2141;5.1;2.87
7;794.53;2141;4.89;2.83
8;1127.74;2141;4.67;2.75
9;954.16;2141;4.65;2.77
10;1124.03;2141;4.84;2.825
11;1162.51;2141;4.8;2.805
12;1091.16;2141;4.83;2.805
13;997.335;2141;4.53;2.68
14;1311.72;2141;4.58;2.705
15;1252.86;2141;4.46;2.605
16;1320.33;2141;4.18;2.545
17;1366.58;2141;3.93;2.435
18;1134.78;2141;4.62;2.695
19;1217.38;2141;4.41;2.64
20;1407.49;2141;4.3;2.56
21;1731.57;2141;4.35;2.585
22;1503.67;2141;4.37;2.63
23;1583;2141;4.38;2.62
24;1569.46;2141;4.66;2.735
25;1223.99;2141;4.42;2.645
26;1529.23;2141;4.56;2.705
27;1309.79;2141;4.61;2.685
28;1223.85;2141;4.65;2.73
29;1319.6;2141;5.09;2.845
30;1424.6;2141;5.16;2.94
31;1164.2;2141;5.28;2.93
32;1412.97;2141;4.81;2.775
33;1322.88;2141;4.81;2.82
34;1300.59;2141;5.14;2.915
35;1439.59;2141;4.51;2.665
36;1539.62;2141;4.91;2.865
37;1414.73;2141;4.77;2.79
38;1369.79;2141;5.28;2.98
39;1336.64;2141;5.05;2.89
40;1320.76;2141;5.18;2.925
41;979.045;2141;4.65;2.745
42;1523.22;2141;4.76;2.72
43;1303.27;2141;4.49;2.635
44;1565.15;2141;4.72;2.735
45;1600.6;2141;4.44;2.6
46;1469.66;2141;4.59;2.695
47;1352.05;2141;4.8;2.76
48;1077.54;2141;4.88;2.74
49;1453.47;2141;4.68;2.72
50;1401.59;2141;4.4;2.57
51;1489.8;2141;4.92;2.755
52;1652.58;2141;4.4;2.555
53;1532.15;2141;4.64;2.645
54;1375.13;2141;4.54;2.645
55;1317.6;2141;4.08;2.47
56;1614.63;2141;4.46;2.59
57;1443.99;2141;4.41;2.555
58;1535.05;2141;4.29;2.58
59;1404.2;2141;4.31;2.575
60;1411.67;2141;4.46;2.635
61;1275.03;2141;4.69;2.685
62;1635.12;2141;4.91;2.81
63;1455.16;2141;5.28;2.96
64;1277.17;2141;5.52;3.08
65;1358.69;2141;4.96;2.845
66;1442.39;2141;4.84;2.775
67;1190.31;2141;4.93;2.795
68;1256.24;2141;4.94;2.76
69;1365.21;2141;4.84;2.75
70;1372.06;2141;4.98;2.805
71;1167.14;2141;5.16;2.855
72;1646.62;2141;5.04;2.78
73;1369.63;2141;4.54;2.64
74;1117.79;2141;4.89;2.76
75;1512.42;2141;4.85;2.735
76;1568.65;2141;4.94;2.77
77;1453.55;2141;4.84;2.775
78;1109.44;2141;4.64;2.67
79;1447.59;2141;4.81;2.77
80;1467.75;2141;4.7;2.685
81;1641.23;2141;4.98;2.815
82;1391.84;2141;4.96;2.825
83;1241.84;2141;5.25;2.96
84;1306.61;2141;5.08;2.885
85;1212.24;2141;4.78;2.78
