;-352.6;93.2;868;992.6;6.6;24;11.4;20.8;-539;-422.5;-306;-306;-306;4306.8;191.6;4909;342.2;9.4;18;13;24;4211;4211;4211;4211;4690;-3398.6;74.8;468;3682.6;4;26;9.2;16.4;-3436;-3436;-3436;-3436;-3249;1892.6;3384.26;5820.8;3156.2;25.6;65;38.6;30.6438;-2111;-2111;3762;3762;6161;-1591.2;1552.67;2787.2;3622.4;20;89;37.8;26.453;-3430;-3430;-1088;-4;-4;1615.4;1377.07;4937.6;2542.2;24;75;39;22.8736;15;15;1889;3079;3079;-3436;0;0;3416;0;5;1;0;-3436;-3436;-3436;-3436;-3436;2161;0;2181;0;1;0;1;0;2161;2161;2161;2161;2161;2754;0;2774;0;1;0;1;0;2754;2754;2754;2754;2754;-66.6;124.925;408.6;359.2;3.2;13;5.8;2.71293;-306;-175;-44;10;51;76.6;4989.05;2993;2720.4;7;14;9.8;9.84683;-5815;-5815;1817;4211;5985;-1322.6;2132.13;1242.8;2425.4;4.2;14;7;7.26636;-3436;-2925.5;-1762;-1762;2762;4902.4;972.169;6156.4;942;10.6;25;15.6;8.2365;3568;3899;4731;5778;6205;-2341.4;1143.03;1352.6;3250;9.6;63;22.2;14.7296;-3680;-3458.5;-2828;-997;-965;1246.4;1081.22;3012.6;1354.2;11.6;45;20.6;10.5376;-90;15.5;1496;1976;2729;110.8;1908.82;2047.8;1781;3.4;22;7.8;7.75629;-3255;-2022;1457;1516;1625;-27.6;1466.02;1778;1529.6;6.2;38;13.8;15.8795;-2303;-1544.5;322;518;2111;29.4;1037.31;2496.8;2183.4;7.6;33;14.2;7.22219;-1135;-885.5;-635;1155;1398;-771.6;420.574;1781.4;2093;14.2;44;23;17.9778;-1378;-1221.5;-799;-310;-306;1773.2;4534.77;4431.4;2166.2;17;38;24.6;24.3442;-5473;-3514.5;4211;5545;6139;-1269;2360.54;2127;3012;9.8;47;19.2;16.179;-3439;-3437.5;-2368;337;2561;2471.2;3456.39;4076.4;1457.2;5;12;7.4;3.49857;-4251;-406;3681;3790;5697;-1891.6;1339.13;1105.8;2761.4;2.8;45;11.8;3.70945;-3621;-3520.5;-1064;-705;-648;1983.8;1293.87;3339.4;1007.6;9.4;40;17.4;6.85857;94;422;2905;3046;3124;496.8;2513.32;2218.2;1557.4;4.2;20;8.2;7.44043;-2936;-1965.5;-377;3396;3396;110.2;2323.82;1689.2;1407;4.4;21;8.6;5.57136;-2290;-2290;-457;2181;3407;244.8;1715.71;2704.8;2120;7.8;46;17;8.09938;-1352;-1193.5;-1035;1966;2680;38.4;924.076;1048.4;846;4.4;19;8.2;10.8517;-745;-525.5;-306;-306;1855;2266.6;3883.3;3660.2;1245.6;4.6;14;7.4;10.9105;-5500;-650;4211;4211;4211;-2921.2;680.305;589.4;3394.6;2.2;18;5.8;8.63481;-3436;-3436;-3436;-2553;-1745;1377.2;2887.28;3630.6;2029.4;7.2;20;11.2;6.88186;-2178;-2153.5;3439;3868;3886;-1678.4;1091.67;1330.2;2700.6;5.8;48;15.4;3.87814;-3047;-3009;-971;-755;-648;664.6;1364.48;2586.6;1646;6.2;38;13.8;1.6;-1046;-830.5;604;1980;2400;-1067.6;1710.4;1427.6;2339.2;3.4;22;7.8;4.83322;-3215;-2881;-789;-429;1642;394.2;1602.44;2326.8;1616.6;7.8;40;15.8;11.1427;-2303;-1400;1208;1422;2141;-572;828.366;1980.6;2276.6;7.4;32;13.8;6.27375;-1515;-1308;-639;-535;930;-581;381.281;1694.6;1799.6;14.2;48;23.8;21.2641;-1065;-1022.5;-468;-306;-86;3028.4;4334.17;5127.8;1567.4;18.8;39;26.6;28.4928;-5473;-631;4211;5979;6214;-1884.8;2279.77;1652.6;3169.4;9.6;44;18.4;17.5682;-3536;-3486;-2904;-2109;2561;2901.8;3024.79;5434;2120.2;12.6;40;20.6;11.5343;-2802;256;3852;3907;6238;-2855;1114.72;1152.8;3475.8;11;78;26.6;18.3041;-4227;-3702.5;-3047;-3009;-814;1417.6;1022.68;3541;1655.4;11.8;58;23.4;10.837;-536;468.5;1763;1988;2400;-404.8;1981.39;1727;1991.8;2.8;21;7;4;-2416;-1782;-1067;-789;3396;-55.8;1844.74;1646.4;1530.2;3.8;24;8.6;5.98665;-2303;-2252;638;1648;1939;757;975.723;2605.2;1556.2;7.6;35;14.6;6.97424;-639;-380;1056;1725;1764;;-109.4;292;1375.6;1121;9.4;44;18.2;14.0627;-306;-306;-201;-201;467;;3742.2;392.596;5416.8;1230.6;13.2;45;22.2;17.5545;3350;3350;3589;4211;4211;;-1771.4;1359.66;1173.8;2717.2;6;27;11.4;9.91161;-3436;-3436;-696;-696;-593;;3921;1280.75;5926.8;1569.8;13.6;41;21.8;15.3414;2158;2960;3762;3762;6161;;-3172.4;1174.63;1148.6;3837;7.4;84;24.2;13.6;-4575;-4002.5;-3430;-3430;-997;;2594;594.172;4252.2;1070.2;16.4;65;29.4;17.8168;1844;1866.5;3079;3079;3079;;-3540.6;209.2;258.2;3650.8;2;27;7.4;12.8;-3959;-3697.5;-3436;-3436;-3436;;1900.4;521.2;2579.2;538.8;3.8;16;7;12;858;1509.5;2161;2161;2161;;2291.8;924.4;3076.8;565;5.2;29;11;20;443;1598.5;2754;2754;2754;;;380.4;744.269;2259.6;1451.2;12.8;43;21.4;11.2;-638;-472;658;806;1382;;2429;3300.05;4574.4;1661.4;15;46;24.2;14.6751;-3903;-578;3514;4211;5576;;-2719.6;1522.24;917.2;3300.8;6.4;52;16.8;10.1272;-4666;-4051;-2933;-2527;-36;;2224.2;3522.09;4329.8;1873.6;7;23;11.6;7.41889;-4251;-1212.5;3439;3946;6161;;-2255.8;1180.41;964.8;2976.6;4.2;40;12.2;7.44043;-3704;-3474;-2536;-1147;-648;;1443.2;952.725;2796.2;1037;8;39;15.8;10.0876;-34;358;1938;1944;2618;;-1321.8;1817.72;1492.4;2586.2;5.2;31;11.4;6.37495;-3436;-3300.5;-778;-740;1510;;1497;1409.13;2435.2;702.2;6.8;25;11.8;7.9599;-576;-11;1797;2161;3549;;993.6;1207.74;2794.8;1549.2;6.4;31;12.6;7.83837;-917;-147;886;1622;2754;;;-38.8;1104.04;1751.8;1390.6;12.4;38;20;19.2458;-1820;-1063;-44;379;1597;;62.4;5352.52;3647;3100.6;13.8;52;24.2;21.414;-6983;-6399;3153;4211;5746;;-2147.6;2635.23;1452.8;3276.4;8;41;16.2;15.4195;-4712;-4157;-3436;-1762;2774;;4048.2;1262.68;5347.2;1035;8.2;25;13.2;6.01332;1783;2734.5;4498;4876;5398;;-2649.6;767.96;1323;3552.6;7.6;67;21;6.0663;-3484;-3432.5;-2902;-1763;-1718;;2293.2;345.241;3523.8;842.6;11.2;41;19.4;7.31027;1844;1909;2298;2656;2694;;-1188.8;2476.35;1409.6;2410.4;3.6;29;9.4;6.37495;-3238;-3008;-2773;-551;3396;;33.2;882.44;1482.2;1309;3;20;7;3.34664;-767;-699.5;-360;281;1644;;867.6;644.794;2921;1769.4;6.8;37;14.2;4.66476;-221;212;886;1450;1578;;;-535.2;685.102;675.4;998.6;4.6;30;10.6;14.3889;-1375;-1287.5;-306;-306;511;;2664;3967.06;4241.2;1309.2;9.2;21;13.4;12.9861;-5157;-506.5;4211;4211;5911;;-2454.2;1659.9;995.6;3197.8;5.4;36;12.6;10.2294;-3436;-3436;-3429;-2799;829;;4875.4;1080.62;5483.8;416.4;7.8;9;9.6;3.55528;3439;3648.5;4996;5998;6086;;-1521.2;735.827;1492.8;2762;3.6;45;12.6;5.1225;-2539;-2402;-1139;-933;-730;;680.4;1246.76;1916.6;1072.2;4.2;20;8.2;2.03961;-507;-324.5;247;781;3023;;-2355.6;1187.92;904.2;3031.8;4.2;36;11.4;3.2;-3911;-3654.5;-2416;-1108;-945;;906.8;1194.5;2178.6;1019.8;6.4;31;12.6;5.71314;-97;-75;120;1648;2916;;2229.6;600.532;4117.6;1444;12.6;48;22.2;4.11825;1314;1519.5;2622;2625;2862;;;205.4;768.33;1210;832.6;5.2;17;8.6;8.61626;-545;-425.5;-306;709;1475;;3939.8;751.576;4282.8;195;5.8;8;7.4;8.2365;2467;3339;4211;4211;4599;;-2127;1214.12;1007;3010;2.4;19;6.2;5.74108;-3436;-3436;-2255;-1034;-474;;1126.4;3588.76;5141.8;3339.4;19.6;71;33.8;35.7402;-4251;-3186;3729;4021;4254;;-2247.6;2201.22;2350;3797.6;19.8;101;40;29.5432;-4488;-4104;-3477;-1064;1511;;1428.4;1312.42;4501.8;2413.4;20;65;33;26.8328;-335;38;1233;2900;2933;;-2817.2;1108.46;728.4;3333.6;3.4;36;10.6;10.837;-3726;-3591;-3436;-2778;-690;;70.2;1792.52;1655.6;1405.4;4;25;9;9.71597;-2201;-1558;-910;2161;2216;;1780.4;1295.87;3499.8;1403.4;9.4;32;15.8;13.7171;-448;334.5;2421;2754;3058;
;-262;88;56.6;274.6;0.6;8;2.2;2.4;-306;-306;-306;-306;-86;;4211;0;4231;0;1;0;1;0;4211;4211;4211;4211;4211;;-3170.6;530.8;136.6;3279.2;0.2;6;1.4;0.8;-3436;-3436;-3436;-3436;-2109;;3128;2768.75;5522;1906;16.4;40;24.4;26.1427;-2111;825.5;3762;4066;6161;;-2318.6;1521.32;1732.6;3539.2;11.8;69;25.6;22.6416;-3732;-3581;-3430;-997;-4;;1172.2;2025;3604.2;1916;15.8;50;25.8;21.9308;-2201;-1093;1889;3079;3079;;-3540.6;209.2;258.2;3650.8;2;27;7.4;12.8;-3959;-3697.5;-3436;-3436;-3436;;1900.4;521.2;2579.2;538.8;3.8;16;7;12;858;1509.5;2161;2161;2161;;2291.8;924.4;3076.8;565;5.2;29;11;20;443;1598.5;2754;2754;2754;
;-1079.2;973.204;263.6;1210.8;2;23;6.6;6.11882;-2937;-2001;-782;-306;-306;;-540;4114.47;2063.4;2519.4;1.8;12;4.2;3.24962;-5473;-4917.5;-1287;4211;4211;;-1235.8;2206.65;1181.2;2341;2.4;7;3.8;2.99333;-3436;-3436;-1117;-751;2561;;5074.2;1054.48;5744.4;514.2;5.2;13;7.8;2.63818;3768;3787;5778;5998;6021;;-2010.2;1148.02;1208.8;2951;3.8;48;13.4;2.6533;-3534;-3412;-1131;-1099;-997;;1245;1728.81;2624.2;1111.2;8;27;13.4;4.8;-609;-281.5;121;3131;3536;;2297;1480.92;2944.8;587.8;2;5;3;3.09839;-328;648.5;3396;3396;3396;;-654.4;2076.04;1040.8;1619.2;2;9;3.8;3.48712;-2201;-2201;-2201;322;3009;;508.6;1351.8;2473.4;1800.8;4;21;8.2;4.30813;-1241;-681;-121;1398;2628;
;-197.6;167.361;317.8;399.4;2.6;16;5.8;2.4;-475;-390.5;-86;-86;-35;;385.2;4685.63;2553.4;2124.2;1.2;5;2.2;1.6;-5358;-5353.5;4211;4211;4211;;-1293;1616.58;1103.4;2320.4;1.8;10;3.8;2.03961;-3436;-2772.5;-2109;502;687;;4412.2;874.694;5183.2;571;6.4;18;10;8.04984;3028;3554;4261;5219;5473;;-575.8;1789.96;1695.2;2107;1.8;32;8.2;7.54718;-3657;-2227;-730;663;1642;;1038;1771.69;2358.2;1092.2;6.6;24;11.4;10.3846;-2201;-837.5;1979;2211;2675;;-208;2281.16;1801.2;1877.2;3;18;6.6;4.27083;-2416;-2372.5;-1148;1457;3396;;1356.8;945.269;2518.6;877.8;7;36;14.2;4.66476;-479;553;1648;1798;2232;;527;1098.91;3047.4;2148.4;9.2;47;18.6;7.08802;-814;-726;637;1725;1725;
;-665;643.11;744.6;1165.6;5.6;33;12.2;5.74108;-1414;-1241;-1039;-44;240;;-3863.8;4206.65;1411.2;5063;4.2;32;10.6;6.49923;-6103;-6096;-6089;-5578;4540;;-229.8;1987.16;1959.8;1977.6;5.8;24;10.6;5.42586;-3436;-2283;428;428;2561;;1766.2;4236.33;3617.2;1739;3.8;9;5.6;3.77359;-4251;-3254;3763;5080;6496;;-1034.2;2419.09;1601;2391.2;5;36;12.2;7.11056;-3420;-3219.5;-1064;-1064;3396;;-77;1767.5;1847.2;1672.2;6;33;12.6;7.73563;-2201;-1533.5;-536;94;3124;;-375.8;2477.73;1810.4;1982.2;4;31;10.2;7.33212;-3060;-2738;-1424;1625;3396;;977.8;1173.64;2230.6;1008.8;4.8;37;12.2;4.48999;-737;-417;1648;1818;2257;;804.6;1278.81;3113.2;1896.6;11;48;20.6;10.3846;-784;-736;1536;1725;2234;
;-521.2;459.789;891.8;1177;7.4;22;11.8;13.3626;-1378;-975;-306;-306;-44;;1306.2;4317.41;3695.2;2081;9.8;28;15.4;23.9132;-5815;-3685.5;4211;4211;5480;;-2285.2;1449.85;1131.6;3188.8;6;27;11.4;16.0698;-3436;-3436;-3129;-1762;337;;5079;1422.6;6308.4;897.4;9.8;34;16.6;8.97998;3208;3384.5;5642;6448;6536;;-1969.6;1355.36;1328.8;3014.4;4.8;47;14.2;3.24962;-4039;-3557.5;-1223;-1047;-463;;1461.8;1198.51;3037.2;1275.4;7.2;39;15;5.93296;94;106;1909;1985;3203;;-1698.6;1843.73;1333;2787.6;5.4;34;12.2;9.17388;-3633;-3205.5;-2559;-1148;1625;;308.8;897.307;1723.6;1194.8;5.8;26;11;2.52982;-678;-483.5;213;351;1947;;1766.2;419.221;4008.2;1806;10.8;55;21.8;9.34666;1346;1348;1664;2038;2433;
;-254.6;308.408;2639.8;2194.4;21.2;69;35;21.6148;-598;-568.5;-201;-201;266;;2389;3378.55;5605.8;2396.8;26.4;73;41;22.7332;-4251;-450.5;3350;4690;4806;;-904.8;2437.88;2479.8;2844.6;13.8;66;27;16.0873;-3279;-3264;-696;-696;3396;
;2650.6;2381.85;5890.8;2632.2;20.2;51;30.4;22.9574;-2111;825.5;3762;3920;3920;;-2769;1383.04;1669;3838;12.4;88;30;20.02;-3534;-3490.5;-3430;-3430;-4;;2302.6;1159.18;5021.6;2019;21.2;69;35;16.876;15;1307.5;2740;3079;3079;
;-3749.8;256.217;774.6;4120.4;6;71;20.2;15.6767;-3959;-3959;-3959;-3436;-3436;;1379.2;638.337;3375.6;1616.4;9.4;48;19;14.6969;858;858;858;2161;2161;;1367.4;1132.15;3682.4;1695;13.6;87;31;24.4949;443;443;443;2754;2754;

;-1377.8;1523.12;404;1585.8;3.6;31;9.8;6.4;-3516;-3226.5;-306;-86;-44;;-1223.4;4468.78;1763.6;2927;1.6;7;3;2.19089;-5815;-5088.5;-4362;4211;4211;;-1454;1412.3;1140.4;2510.4;2.8;7;4.2;2.71293;-3436;-2772.5;-1762;-751;788;
;3886.8;221.424;5488.6;1357.8;8;21;12.2;5.38145;3699;3733.5;3768;3886;4313;;-3394.4;343.446;453;3563.4;2.6;58;14.2;1.6;-4055;-3672.5;-3290;-3290;-3047;;3057;587.941;3968.4;683.4;7.8;18;11.4;0.8;2277;2338.5;3536;3536;3536;
;-263;2329.19;2061.8;2112.8;5.6;25;10.6;6.62118;-2863;-2747;-115;898;3396;;-145.2;2180.56;1853;1738.2;6.8;31;13;11.7983;-2720;-2460.5;-313;1424;3084;;-1209.4;1264.84;1900.8;2890.2;3.8;36;11;6.9282;-2794;-2213;-1479;-1221;1079;

;-43.2;677.157;1322.6;1105.8;8.4;23;13;17.1581;-591;-448.5;-306;-306;1293;;4354.2;909.466;4946.8;316.6;10.2;18;13.8;19.3742;3158;3684.5;4211;4211;5980;;-3199.8;864.742;720.2;3664;4.6;41;12.8;14.6205;-4134;-3785;-3436;-3436;-1557;
;4592.8;792.184;5319.8;475;8.8;19;12.6;7.73563;3439;3810;4403;5297;5644;;-1280.6;1964.26;1632.8;2581.4;7.2;47;16.6;14.4444;-4001;-3586;-648;663;754;;498.6;1260.95;2199;1440.4;6.4;33;13;9.71597;-948;-948;750;1494;2145;
;-501.4;2086.62;1716.2;2061.6;3;24;7.8;4.48999;-2902;-2025;-1064;-789;3396;;-42;1375.45;1280.4;1206.4;2.6;16;5.8;2.03961;-2303;-1204;-85;264;2019;;836.6;1400.23;3007.4;1862.8;9;32;15.4;7.93977;-1035;-837;1539;1902;2416;

;-889.8;686.823;1224;1773.8;8.2;44;17;14.8054;-2233;-1489;-626;-539;-306;;-1447.6;4870.56;2465;3548.6;8.4;49;18.2;17.4172;-5595;-5547.5;-5164;4211;4810;;-1469.6;2252.19;1612.8;2762.4;6.6;47;16;14.5327;-4016;-3726;-1745;-393;2242;
;966.2;2910.71;3107.8;2013.6;3.4;15;6.4;3.77359;-2802;-2465.5;1899;3681;4182;;-1827.8;1450.62;1161;2800.8;3;32;9.4;5.57136;-3420;-3219;-2084;-1280;663;;1230;1881.9;2851;1329;7.4;36;14.6;4.27083;-1434;-985;1911;3085;3124;
;-817.4;2270.09;1622.6;2252;3.8;28;9.4;5.42586;-3130;-2773;-1148;-789;3396;;57.2;1546.01;1667.4;1422.2;3.4;30;9.4;5.1225;-2201;-1448;-405;1648;1939;;734.4;1332.2;3044.4;1986;8.2;40;16.2;6.14492;-1128;-883.5;1725;1764;1950;

;127;587.968;2580.6;1929.6;16.2;50;26.2;21.6;-509;-407.5;95;163;1192;;4327;1271.71;5740;849;19.8;42;28.2;24.252;2936;2954.5;4211;5432;6083;;-2692.8;1697.11;1328.8;3593.6;9;62;21.4;18.2275;-4685;-4342;-3436;-728;-616;
;2239;2470.42;5162.8;2315.8;18.6;59;30.4;31.6708;-2357;-287;3439;3762;4568;;-1435.8;1537.6;2448.8;3276.6;15.4;75;30.4;31.0329;-3373;-2777;-2085;-648;1108;;1174;1449.63;4027.6;2233.6;18;65;31;28.4253;-884;-242;750;2492;3112;
;-2176;956.559;1312.4;3132.4;8.4;47;17.8;5.87878;-2991;-2815.5;-2531;-2416;-302;;402.4;919.648;2299;1556.6;9.4;38;17;9.38083;-870;-537;224;1214;1648;;1334.8;1374.23;3803.8;1961;13.4;60;25.4;5.8515;-1351;143.5;1725;2330;2332;

;-325.2;-325.2;38.4;178.6;443.8;1.6;7;3;4;-402;-354;-306;-306;-306;;3993.2;3993.2;435.6;4153.4;100.2;2.2;4;3;4;3122;3666.5;4211;4211;4211;;-2955.6;-2955.6;960.8;444.4;3324;1.2;13;3.8;5.6;-3436;-3436;-3436;-3436;-1034;
;1924.2;1924.2;3402.26;6059.6;3339.4;26;69;39.8;29.8423;-2111;-2111;3762;3920;6161;;-1612;-1612;1577.66;2774;3622;19.8;92;38.2;26.1794;-3534;-3482;-1088;-4;-4;;1519.6;1519.6;1285.54;5053.8;2706.2;24.8;83;41.4;21.4439;15;15;1889;2600;3079;
;-3749.8;-3749.8;256.217;774.6;4120.4;6;71;20.2;15.6767;-3959;-3959;-3959;-3436;-3436;;1379.2;1379.2;638.337;3375.6;1616.4;9.4;48;19;14.6969;858;858;858;2161;2161;;1367.4;1367.4;1132.15;3682.4;1695;13.6;87;31;24.4949;443;443;443;2754;2754;

;-319.8;-319.8;227.996;2231.4;1987.2;16.4;59;28.2;22.5069;-613;-576;-306;-97;-44;;2343.2;2343.2;4117.28;5337.2;2318;23.4;52;33.8;28.0742;-5815;-1173;4211;4690;5161;;-3244.2;-3244.2;836.664;1525.4;4213.6;12.4;77;27.8;22.7982;-4356;-3896;-3418;-3249;-1762;
