2255;2195;2;1;;96;-44;4;3
2342;2282;3;0;;54;-86;3;4
2254;2194;3;0;;-286;-306;0;1
2559;2499;2;1;;-1118;-1378;5;8
2254;2194;3;0;;-286;-306;0;1
2368;2308;3;0;;-2637;-2937;5;10
2254;2194;3;0;;-286;-306;0;1
2368;2308;3;0;;-2637;-2937;5;10
2342;2282;3;0;;-805;-1065;5;8
4637;3557;37;17;;973;-407;45;24
3702;2922;26;13;;815;-165;31;18
4011;3191;30;11;;131;-649;27;12
3250;2830;15;6;;-779;-1319;9;18
2255;2195;2;1;;96;-44;4;3
3866;3086;26;13;;1057;-123;37;22
2255;2195;2;1;;96;-44;4;3
2255;2195;2;1;;96;-44;4;3
2254;2194;3;0;;-286;-306;0;1
4031;3091;36;11;;-90;-1230;32;25
2416;2356;3;0;;-335;-475;2;5
2342;2282;3;0;;54;-86;3;4
4411;3511;32;13;;680;-300;32;17
2254;2194;3;0;;-286;-306;0;1
2342;2282;3;0;;54;-86;3;4
2254;2194;3;0;;-286;-306;0;1
2255;2195;2;1;;96;-44;4;3
4433;3613;31;10;;-499;-1279;24;15
2666;2446;9;2;;-28;-168;3;4
2368;2308;3;0;;-523;-703;3;6
2695;2475;8;3;;-28;-168;3;4
2254;2194;3;0;;-286;-306;0;1
4054;2954;38;17;;-3;-1143;35;22
2138;2078;3;0;;-722;-782;0;3
5256;4216;40;12;;965;-215;40;19
2365;2305;2;1;;106;6;4;1
2254;2194;3;0;;-286;-306;0;1
2342;2282;3;0;;54;-86;3;4
2249;2109;7;0;;-1837;-2257;7;14
2416;2356;3;0;;-286;-306;0;1
2254;2194;3;0;;-286;-306;0;1
2368;2308;3;0;;-565;-745;3;6
2254;2194;3;0;;-286;-306;0;1
2368;2308;3;0;;-2637;-2937;5;10
2342;2282;3;0;;-1074;-1414;5;12
2368;2308;3;0;;-565;-745;3;6
2255;2195;2;1;;96;-44;4;3
1778;1598;5;4;;173;-127;7;8
4543;3603;36;11;;392;-588;33;16
2254;2194;3;0;;-286;-306;0;1
2255;2195;2;1;;96;-44;4;3
2255;2195;2;1;;96;-44;4;3
2254;2194;3;0;;-286;-306;0;1
2249;2109;7;0;;-1837;-2257;7;14
2254;2194;3;0;;-286;-306;0;1
2462;2082;17;2;;1890;1310;17;12
2559;2499;2;1;;-1118;-1378;5;8
4683;3823;32;11;;587;-433;30;21
2422;2202;9;2;;124;-56;6;3
2255;2195;2;1;;96;-44;4;3
2644;2464;7;2;;-28;-168;3;4
2714;2174;19;8;;1813;1273;16;11
2254;2194;3;0;;-286;-306;0;1
2254;2194;3;0;;-286;-306;0;1
2342;2282;3;0;;-1074;-1414;5;12
2342;2282;3;0;;-1072;-1412;5;12
2254;2194;3;0;;-286;-306;0;1
3991;3131;31;12;;100;-760;28;15
4759;3679;38;16;;1578;238;43;24
5322;3842;53;21;;780;-1360;57;50
4823;4003;33;8;;456;-444;31;14
2365;2305;2;1;;106;6;4;1
4418;3398;36;15;;619;-641;36;27
2255;2195;2;1;;96;-44;4;3
2254;2194;3;0;;-286;-306;0;1
3967;3107;30;13;;809;-91;31;14
2254;2194;3;0;;-286;-306;0;1
1136;1076;3;0;;-272;-372;3;2
2342;2282;3;0;;-1074;-1414;5;12
4482;3662;33;8;;414;-446;29;14
2254;2194;3;0;;-286;-306;0;1
2254;2194;3;0;;-286;-306;0;1
2254;2194;3;0;;-286;-306;0;1
1967;1747;9;2;;1235;1015;6;5
2254;2194;3;0;;-286;-306;0;1
4651;3631;35;16;;1087;-173;40;23
2254;2194;3;0;;-286;-306;0;1
2254;2194;3;0;;-286;-306;0;1
2342;2282;3;0;;-1074;-1414;5;12
4300;3320;33;16;;848;-372;35;26
4814;3754;38;15;;83;-1017;33;22
3837;2937;30;15;;521;-539;33;20
2255;2195;2;1;;96;-44;4;3
2254;2194;3;0;;-286;-306;0;1
3837;2937;30;15;;521;-539;33;20
2416;2356;3;0;;-3048;-3348;6;9
2255;2195;2;1;;96;-44;4;3
2368;2308;3;0;;-3136;-3516;6;13
2342;2282;3;0;;54;-86;3;4
2650;2310;16;1;;1815;1475;12;5
2254;2194;3;0;;-286;-306;0;1
