1.2.2016_15.2.2016;;;;;15.2.2016_1.3.2016;;;;;1.3.2016_15.3.2016;;;;;15.3.2016_1.4.2016
6259;6159;4;1;;-2156;-2416;7;6;;-118;-378;5;8;;1988;1648;8;9;;
6376;6276;5;0;;-649;-789;3;4;;-2243;-2303;0;3;;-419;-639;7;4;;
6512;6332;9;0;;-2547;-2927;7;12;;-476;-936;10;13;;3230;2610;18;13;;
6798;6618;8;1;;3416;3396;1;0;;-2278;-2338;1;2;;-428;-688;6;7;;
6793;6653;7;0;;3416;3396;1;0;;-2181;-2201;0;1;;-2774;-2794;0;1;;
6595;6415;8;1;;-3464;-3644;4;5;;-485;-705;5;6;;984;724;5;8;;
6763;6663;4;1;;-2579;-2719;3;4;;2344;2124;7;4;;-517;-857;8;9;;
7068;6928;7;0;;3416;3396;1;0;;-2181;-2201;0;1;;2848;2628;6;5;;
6941;6761;8;1;;-702;-802;2;3;;-2181;-2201;0;1;;-2597;-2657;2;1;;
6515;6255;11;2;;-2354;-2854;13;12;;3014;2634;11;8;;3158;2338;21;20;;
6512;6332;9;0;;-2547;-2927;7;12;;-476;-936;10;13;;3230;2610;18;13;;
6594;6414;8;1;;-2281;-2581;8;7;;1916;1536;7;12;;2279;1779;13;12;;
4231;4211;1;0;;-3416;-3436;0;1;;2181;2161;1;0;;2774;2754;1;0;;
7239;7059;9;0;;-928;-1108;3;6;;2127;1947;5;4;;2983;2483;15;10;;
7270;7050;11;0;;3416;3396;1;0;;-2181;-2201;0;1;;-61;-121;1;2;;
7270;7050;11;0;;3416;3396;1;0;;-2181;-2201;0;1;;-2774;-2794;0;1;;
6596;6496;5;0;;-855;-995;3;4;;-2473;-2573;1;4;;2951;2451;12;13;;
6445;6305;6;1;;-2156;-2416;7;6;;2046;1746;8;7;;1993;1573;9;12;;
6376;6276;5;0;;-649;-789;3;4;;-2243;-2303;0;3;;-419;-639;7;4;;
6470;6410;3;0;;1702;1642;1;2;;-2181;-2201;0;1;;-844;-984;5;2;;
