1;-124944;-140
2;-21899.3;-140
3;-52795.9;-140
4;-140;-140
5;-11458.6;-140
6;-31569;-140
7;-140;-140
8;-140;-140
9;-140;-140
10;-140;-140
11;-140;-140
12;-140;-140
13;-140;-140
14;-140;-140
15;-140;-140
16;-140;-140
17;-140;-140
18;-140;-140
19;-140;-140
20;-140;-140
21;-140;-140
22;-37411.5;-140
23;-140;-140
24;-140;-140
25;-140;-140
26;-140;-140
27;-140;-140
28;-140;-140
29;-107414;-107414
30;-163567;-111848
31;-166297;-166297
32;-153412;-153412
33;-161880;-157412
34;-158048;-158048
35;-165617;-165617
36;-172166;-172166
37;-181032;-181032
38;-56756;-56756
39;-30470;-12155
40;-140;-140
41;-199655;-199655
42;-190052;-190052
43;-204143;-204143
44;-206573;-206573
45;-201088;-201088
46;-211869;-211869
47;-205380;-205380
48;-206135;-206135
49;-217200;-217200
50;-171572;-132356
51;-152673;-152673

1;-128413;2233
2;-54036.2;1947
3;-7241.4;-140
4;-94536.7;-140
5;-34149.7;746
6;-66436.3;-20274
7;-5785.5;-4465
8;-12408;-8479
9;-25904;-25904
10;-33779;-33779
11;-15709.5;-140
12;-69579;-69579
13;-76355;-76355
14;-102158;-140
15;-98212;-98212
16;-200681;-200681
17;-104562;-104562
18;-106087;-106087
19;-214201;-214201
20;-126518;-126518
21;-209359;-209359
22;-194686;-194686
23;-207620;-207620
24;-220939;-220939
25;-208832;-208832
26;-211705;-211705
27;-193785;-193785
28;-200226;-200226
29;-206255;-206255
30;-198755;-198755
31;-113179;-110282
32;-193608;-193608
33;-200857;-200857
34;-216220;-216220
35;-202193;-202193
36;-211290;-211290
37;-222536;-222536
38;-212527;-212527
39;-215905;-215905
40;-203778;-203778
41;-214621;-214621
42;-199356;-199356
43;-198076;-198076
44;-215048;-215048
45;-192970;-192970
46;-208938;-208938
47;-10503;-10503
48;-140;-140
49;-140;-140
50;-140;-140
51;-140;-140

1;-129863;-140
2;-137675;-140
3;-156019;-140
4;-140;-140
5;-52304.3;-140
6;-140;-140
7;-140;-140
8;-140;-140
9;-140;-140
10;-140;-140
11;-107821;-107821
12;-101220;-101220
13;-100461;-100461
14;-148322;-98124
15;-97566;-97566
16;-102093;-102093
17;-211858;-211858
18;-105455;-105455
19;-109522;-109522
20;-81259;-59598
21;-140;-140
22;-27283.5;-140
23;-140;-140
24;-140;-140
25;-140;-140
26;-140;-140
27;-140;-140
28;-140;-140
29;-202898;-202898
30;-193239;-193239
31;-207633;-207633
32;-140;-140
33;-140;-140
34;-140;-140
35;-140;-140
36;-140;-140
37;-140;-140
38;-140;-140
39;-140;-140
40;-140;-140
41;-140;-140
42;-140;-140
43;-140;-140
44;-140;-140
45;-140;-140
46;-140;-140
47;-140;-140
48;-140;-140
49;-140;-140
50;-140;-140
51;-140;-140

1;-122932;-140
2;-38545.4;62
3;-122659;-114180
4;-34532.3;-140
5;-21814.6;-140
6;-38024.5;-140
7;-140;-140
8;-140;-140
9;-140;-140
10;-140;-140
11;-208751;-208751
12;-207151;-207151
13;-140;-140
14;-108133;-140
15;-140;-140
16;-140;-140
17;-140;-140
18;-140;-140
19;-4105;-4105
20;-4712;-4712
21;-88688;-88688
22;-101313;-101313
23;-109097;-109097
24;-110152;-110152
25;-111512;-111512
26;-95871;-95871
27;-210252;-210252
28;-98203;-98203
29;-133247;-67182
30;-24604;-24604
31;-93727;-93727
32;-7776;-7776
33;-6205;-6205
34;-133322;-133322
35;-25113;-25113
36;-60154;-60154
37;-54585;-54585
38;-64128;-64128
39;-73750;-73750
40;-116880;-65793
41;-69504;-69504
42;-118346;-118346
43;-125393;-125393
44;-130886;-130886
45;-165009;-165009
46;-150933;-150933
47;-117898;-88358
48;-90726;-90726
49;-103736;-86440
50;-185706;-185706
51;-210582;-210582

1;-123898;-140
2;-51579.4;-140
3;-52637.7;-140
4;-24737.7;-140
5;-140;-140
6;-140;-140
7;-140;-140
8;-140;-140
9;-110613;-110613
10;-108774;-106465
11;-103537;-103537
12;-105352;-97358
13;-110807;-110807
14;-99056;-99056
15;-94686;-94686
16;-95944;-95944
17;-215344;-215344
18;-215405;-215405
19;-195914;-195914
20;-199503;-199503
21;-186500;-186500
22;-213883;-213883
23;-208317;-208317
24;-198211;-198211
25;-207600;-207600
26;-207601;-207601
27;-211672;-211672
28;-205669;-205669
29;-212258;-212258
30;-211572;-211572
31;-203673;-203673
32;-209800;-203510
33;-210567;-209820
34;-113709;-113709
35;-107784;-104540
36;-105351;-105351
37;-117756;-117756
38;-113154;-113154
39;-214008;-214008
40;-221922;-213477
41;-214278;-214278
42;-216577;-216577
43;-207219;-207219
44;-140;-140
45;-140;-140
46;-140;-140
47;-102644;-102644
48;-90550;-90550
49;-103178;-103178
50;-108062;-108062
51;-74510;-74510

1;-114725;28
2;-101440;334
3;-146879;-140
4;-140;-140
5;-140;-140
6;-140;-140
7;-140;-140
8;-140;-140
9;-140;-140
10;-140;-140
11;-140;-140
12;-140;-140
13;-140;-140
14;-46192;-46192
15;-44344;-44344
16;-95155;-95155
17;-102514;-102514
18;-107652;-107652
19;-101147;-101147
20;-101657;-101657
21;-100763;-100763
22;-55182.5;-140
23;-140;-140
24;-140;-140
25;-140;-140
26;-140;-140
27;-140;-140
28;-140;-140
29;-140;-140
30;-140;-140
31;-204483;-204483
32;-208036;-208036
33;-106592;-106592
34;-108324;-108324
35;-211926;-211926
36;-140;-140
37;-140;-140
38;-140;-140
39;-140;-140
40;-110387;-140
41;-202277;-202277
42;-199310;-199310
43;-197415;-189520
44;-197578;-197578
45;-198083;-198083
46;-192157;-192157
47;-202230;-202230
48;-103292;-140
49;-198625;-198625
50;-99091;-99091
51;-93234;-93234

1;-120901;1947
2;-18930.1;2233
3;-38517.1;-140
4;-209148;-192895
5;-205411;-194821
6;-205909;-198593
7;-218025;-217721
8;-205651;-202089
9;-215475;-215475
10;-207922;-205759
11;-217017;-217017
12;-212832;-212832
13;-212427;-212427
14;-207501;-207501
15;-217372;-217372
16;-206487;-199342
17;-202546;-202546
18;-195576;-195576
19;-209611;-209611
20;-219063;-219063
21;-190615;-190615
22;-212263;-212263
23;-160590;-105802
24;-102277;-102277
25;-99609;-99609
26;-119124;-119124
27;-105633;-105633
28;-184610;-184610
29;-196328;-196328
30;-185428;-185428
31;-196151;-196151
32;-192396;-192396
33;-216036;-216036
34;-202097;-202097
35;-115678;-24027
36;-98498;-98498
37;-112938;-112938
38;-103252;-103252
39;-102060;-102060
40;-102067;-102067
41;-97549.5;-95215
42;-95991;-95991
43;-95969;-95969
44;-105235;-105235
45;-90971;-90971
46;-88633;-88633
47;-174706;-174706
48;-189264;-189264
49;-140;-140
50;-140;-140
51;-140;-140

1;-123791;-140
2;-81010.1;-140
3;-22554.7;-140
4;-27075.7;-140
5;-29678.7;-140
6;-6156.2;-140
7;-140;-140
8;-140;-140
9;-140;-140
10;-140;-140
11;-140;-140
12;-140;-140
13;-140;-140
14;-140;-140
15;-53665.5;-140
16;-140;-140
17;-140;-140
18;-140;-140
19;-101304;-101304
20;-97919;-97919
21;-106946;-106946
22;-93157;-93157
23;-117070;-117070
24;-116857;-116857
25;-140;-140
26;-140;-140
27;-100033;-140
28;-203889;-203889
29;-212569;-212569
30;-214319;-214319
31;-103715;-103715
32;-171994;-171994
33;-126339;-126339
34;-122280;-122280
35;-131315;-131315
36;-139895;-139895
37;-122799;-122799
38;-133708;-133708
39;-116653;-116653
40;-121023;-121023
