1;-26 575,2;60
2;-8 520,06;60
3;-199,56;60
4;51,6;60
5;57,6;60
6;60;60
7;60;60
8;60;60
9;60;60
10;60;60
11;60;60
12;60;60
13;60;60
14;60;60
15;60;60
16;60;60
17;60;60
18;60;60
19;60;60
20;60;60
21;60;60
22;60;60
23;60;60
24;60;60
25;60;60
26;60;60
27;60;60
28;60;60
29;60;60
30;60;60
31;60;60
32;60;60
33;60;60
34;60;60
35;60;60
36;60;60
37;60;60
38;60;60
39;60;60
40;60;60
41;60;60
42;60;60
43;60;60
44;60;60
45;60;60
46;60;60
47;60;60
48;60;60
49;60;60
50;60;60
1;-21 258,8;60
2;-27 286,2;552
3;-14 253,1;662
4;-10 376,5;60
5;-8 642,7;731
6;-5 312,56;60
7;-5 049,86;528
8;-2 817,52;528
9;-12 599,9;60
10;-14 391,9;60
11;-5 457,36;403
12;-5 546,12;60
13;-8 058,08;60
14;-4 417,28;60
15;-2 096,14;60
16;-7 789,66;60
17;-5 980,74;60
18;-1 063,98;60
19;-6 026,44;60
20;-2 038,68;60
21;-8 267,86;60
22;-2 033,32;60
23;-2 737,38;60
24;-4 093,88;60
25;-6 168,56;60
26;-8 218,2;731
27;-5 641,54;60
28;-3 198,14;60
29;29,24;60
30;-2 028,68;60
31;-787,22;60
32;-4 103,12;528
33;-6 555,42;67
34;-2 050,52;310
35;-8 430,32;60
36;-6 178,8;60
37;-11 075,3;60
38;-4 871,88;60
39;-2 133,32;60
40;-2 563,22;60
41;-10 381,9;60
42;-222,88;731
43;-4 094,34;403
44;-2 031,96;60
45;-8 978,72;60
46;-2 920,56;60
47;60;60
48;-2 246,06;60
49;-8 387,72;60
50;-126,88;731
