1;-14 736;731
2;-19 973,7;731
3;-20 175,9;174
4;-31 939,4;436
5;-16 802,4;662
6;-19 647,3;242
7;-15 889,4;60
8;-25 671,6;528
9;-32 256,3;60
10;-26 624,2;528
11;-23 861,9;60
12;-29 813,8;60
13;-15 295,7;731
14;-27 623,7;552
15;-25 736,8;60
16;-26 849,1;60
17;-27 867,2;60
18;-27 150;60
19;-17 541;60
20;-16 780,7;60
21;-30 436,5;242
22;-18 715,6;242
23;-20 512,8;60
24;-20 861,3;92
25;-24 825,3;92
26;-24 355,9;174
27;-18 705,2;403
28;-26 828,6;60
29;-20 934,9;174
30;-24 581,1;731
31;-17 285,9;552
32;-20 465,1;391
33;-27 804,4;60
34;-18 156,2;731
35;-16 575,3;731
36;-28 643,3;731
37;-21 467,3;731
38;-26 408,9;60
39;-29 797,3;2 902
40;-24 281,4;731
41;-30 768,3;60
42;-30 113;60
43;-30 154,7;662
44;-24 163,3;60
45;-20 498,3;907
46;-28 483,9;60
47;-18 530,5;60
48;-15 175,5;1 421
49;-27 125,5;64
50;-22 901,4;731
