;S1(S2);S1(S3);S1(S4);;S2(S3);S2(S4);S2(S5);;S3(S4);S3(S5);S3(S6);;
Zysk na zbiorze treningowym;1986.51;1986.51;1986.51;;3218.22;3218.22;3218.22;;5116.14;5116.14;5116.14;;3440.29
Zysk na zbiorze testowym (bez prowizji);275.205;4185.37;-1848.4;;3608.05;-1166.85;1389.23;;-1817.66;2280.3;1699.71;;956.1061111
Zysk na zbiorze testowym;-130.195;3743.67;-1923.4;;3188.64;-1627.75;1304.83;;-2162.86;1760.51;1586.91;;637.8172222
Ochylenie standardowe zysku na zbiorze testowym;633.818;2790.3;2454.43;;3054.26;1850.04;1351.67;;2046.23;1195;1626.61;;1889.150889
Liczba zyskownych transakcji;11.895;14.21;1.55;;13.655;9.845;2.405;;8.17;15.3;2.87;;8.877777778
Liczba stratnych transakcji;8.375;7.875;2.2;;7.315;13.2;1.815;;9.09;10.69;2.77;;7.036666667
Liczba wszystkich transakcji;20.27;22.085;3.75;;20.97;23.045;4.22;;17.26;25.99;5.64;;15.91444444
Odchylenie standardowe z liczby transakcji;23.1166;22.5228;5.64779;;24.0454;22.3057;5.3881;;18.2168;20.8384;7.46662;;16.61646778
Minimalny zysk;-2257;-4251;-3959;;-6667;-4916;-2303;;-4776;-2201;-2794;;-3791.555556
Pierwszy kwartyl zysku;-306;3762;-3436;;3182;-3430;208;;-3436;1013;67;;-264
Mediana zysku;-306;3920;-3436;;4211;-1088;2161;;-3249;1889;2754;;761.7777778
Trzeci kwartyl zysku;-38;5932;-1004;;4690;-945;2161;;-920;2740;2754;;1707.777778
Maksymalny zysk;2021;6344;3396;;6290;3396;2643;;3396;4157;2754;;3821.888889
