0;-2708.96;550;8.7;3.865
1;-806.89;796;8.8;4.145
2;-1015.82;896;9.47;4.475
3;-743.24;898;12.18;4.965
4;-1325.23;898;14.34;5.295
5;-1055.38;898;14.47;5.24
6;-1021.62;898;15.44;5.335
7;-1401.1;898;15.51;5.255
8;-1244.34;898;14.88;5.175
9;-1440.31;898;15.53;5.255
10;-1534.55;898;14.74;5.21
11;-1007.26;898;13.61;4.98
12;-1525.04;898;12.59;4.925
13;-1419.48;898;13.14;4.93
14;-1452.04;898;13.5;5.02
15;-1044.84;898;12.65;4.9
16;-1609.29;898;12.41;4.875
17;-995.865;898;12.03;4.86
18;-1619.07;1332;12.12;4.875
19;-1307.22;1332;10.82;4.58
20;-1030.3;1332;10.15;4.35
21;-838.37;1432;9.59;4.165
22;-750.17;1432;9.73;4.205
23;-1231.8;1947;9.46;4.115
24;-1015.51;1947;10.15;4.33
25;-936.275;1947;10.87;4.51
26;-285.575;1947;11.45;4.52
27;-794.67;1947;11.62;4.535
28;-438.835;1990;11.04;4.46
29;-745.995;2400;10.68;4.43
30;-810.54;2400;10.44;4.35
31;-453.045;2466;11.05;4.36
32;-519.74;2466;11.62;4.42
33;-740.71;2466;13.83;4.795
34;-403.79;2549;14.82;4.975
35;-791.68;2549;15.26;5.095
36;15.01;2549;15.18;5.115
37;-608.945;2549;14.78;5.02
38;-429.735;2549;14.99;5.13
39;-464.165;2549;14.93;5.025
40;-253.45;2549;15.32;5.1
41;-496.3;2549;14.91;4.985
42;-678.12;2549;14.84;5.085
43;-168.285;2549;15.22;5.075
44;-419.805;2549;15.12;5.115
45;-475.335;2549;14.74;5.035
46;-692.275;2549;15.16;5.085
47;-684.335;2549;15.25;5.165
48;-562.37;2549;15.13;5.075
49;-395.53;2549;15.04;5.06
50;-549.165;2662;15.31;5.15
51;-612.2;2662;15.45;5.125
52;-417.66;2662;16;5.135
53;-431.895;2673;16.17;5.105
54;-631.595;2673;16.14;5.045
55;-610.38;2673;16.54;5.095
56;-713.96;2673;16.78;5.185
57;-1150.21;2738;17.02;5.155
58;-899.9;2738;17.75;5.285
59;-534.69;2738;18.41;5.275
60;-947.07;2738;18.86;5.275
61;-811.76;2738;19.06;5.37
62;-692.78;2738;18.67;5.445
63;-637.34;2738;18.6;5.345
64;-806.005;2738;18.82;5.325
65;-555.585;2738;19.04;5.41
66;-357.62;2738;19.31;5.4
67;-724.27;2738;18.8;5.29
68;-275.545;2738;19.04;5.34
69;-326.64;2738;18.67;5.305
70;-874.455;2738;18.04;5.225
71;-395.085;2738;17.9;5.235
72;-674.415;2738;18.77;5.385
73;-656.06;2738;18.4;5.325
74;-309.82;2738;18.58;5.405
75;-973.77;2738;17.73;5.25
76;-787.28;2738;18.11;5.3
77;-368.34;2738;18.3;5.315
78;-456.955;2738;18.32;5.255
79;-938.35;2738;18.67;5.305
80;-963.055;2738;18.28;5.345
81;-654.61;2738;18.2;5.24
82;-857.635;2738;18.59;5.42
83;-419.315;2738;18.1;5.26
84;-1116.97;2738;18.09;5.305
85;-617.55;2738;18.41;5.34
86;-812.575;2738;19.04;5.47
87;-517.125;2738;18.18;5.375
88;-922.195;2738;18.45;5.275
89;-809.95;2738;18.75;5.42
90;-1143.2;2738;18.15;5.235
91;-773.255;2738;19.33;5.415
92;-671.745;2738;19.31;5.43
93;-91.43;2738;19.16;5.39
94;-808.97;2738;18.36;5.285
95;-795.79;2738;18.64;5.37
96;-821.425;2738;19.05;5.425
97;-635.075;2738;19.45;5.43
98;-372.7;2738;18.38;5.285
99;-542.615;2738;19.3;5.435
100;-451.5;2738;18.58;5.315
