0;3.855
1;3.98
2;3.675
3;3.285
4;3.82
5;3.79
6;3.89
7;3.92
8;3.985
9;3.925
10;3.97
11;3.955
12;3.915
13;3.9
14;3.785
15;3.79
16;3.775
17;3.835
18;3.835
19;3.925
20;3.765
21;3.89
22;3.855
23;3.83
24;3.805
25;3.71
26;3.785
27;3.685
28;3.72
29;3.675
30;3.725
31;3.675
32;3.62
33;3.605
34;3.62
35;3.605
36;3.57
37;3.46
38;3.495
39;3.505
40;3.55
41;3.45
42;3.45
43;3.44
44;3.515
45;3.435
46;3.46
47;3.4
48;3.45
49;3.395
50;3.395
51;3.395
52;3.295
53;3.325
54;3.295
55;3.27
56;3.33
57;3.345
58;3.355
59;3.42
60;3.355
61;3.445
62;3.27
63;3.25
64;3.28
65;3.365
66;3.325
67;3.305
68;3.29
69;3.375
70;3.275
71;3.18
72;3.2
73;3.115
74;3.065
75;3.08
76;3.105
77;3.125
78;3.135
79;3.27
80;3.13
81;3.2
82;3.29
83;3.29
84;3.39
85;3.39
86;3.37
87;3.255
88;3.365
89;3.32
90;3.305
91;3.425
92;3.44
93;3.44
94;3.33
95;3.315
96;3.37
97;3.155
98;3.195
99;3.265
100;3.23
